label,variant,seed,scenario,mean,std,length_mean,completed
baseline_seed42,baseline,42,heavy,133.01326451689005,30.863249205148485,916.82,100
baseline_seed42,baseline,42,id,144.8929452252388,15.121048550091427,951.17,100
baseline_seed42,baseline,42,low_friction,132.96729927122593,19.789936191183855,942.55,100
baseline_seed42,baseline,42,push,143.2846215519309,21.161608962426286,942.35,100
baseline_seed43,baseline,43,heavy,120.18817529439926,34.09690261861236,894.46,100
baseline_seed43,baseline,43,id,133.20284244149923,27.441440625943397,925.43,100
baseline_seed43,baseline,43,low_friction,123.767950258255,25.648236936536254,925.31,100
baseline_seed43,baseline,43,push,132.2559063127637,26.846101991150874,922.53,100
baseline_seed44,baseline,44,heavy,130.48662377434783,30.064596463218237,924.33,100
baseline_seed44,baseline,44,id,140.0479527628422,35.62387269793907,908.31,100
baseline_seed44,baseline,44,low_friction,131.37460671246052,30.376689919628394,916.07,100
baseline_seed44,baseline,44,push,143.05378114834429,26.942266611570293,928.58,100
friction_seed42,friction,42,heavy,142.46094570815563,32.66904804899374,925.93,100
friction_seed42,friction,42,id,153.20040993988513,31.78817909392088,925.64,100
friction_seed42,friction,42,low_friction,153.19351466238498,35.495855813402976,925.33,100
friction_seed42,friction,42,push,154.68402930617333,22.646205876703807,942.65,100
robust_seed42,robust,42,heavy,154.3023313987255,28.05994813070035,931.81,100
robust_seed42,robust,42,id,156.15251320302485,27.92912222146603,933.51,100
robust_seed42,robust,42,low_friction,162.0094069200754,30.79387277429453,928.14,100
robust_seed42,robust,42,push,153.0421993982792,32.018007231906424,923.94,100
robust_seed43,robust,43,heavy,143.22710802689195,36.50404842946506,908.46,100
robust_seed43,robust,43,id,143.81466037273407,35.86536714147879,906.16,100
robust_seed43,robust,43,low_friction,157.09601004302502,27.949759333436646,933.32,100
robust_seed43,robust,43,push,139.9023689557612,41.147149472585106,883.65,100
robust_seed44,robust,44,heavy,132.05486811101437,26.02274159596357,927.6,100
robust_seed44,robust,44,id,133.11325848281385,31.573772098815375,918.21,100
robust_seed44,robust,44,low_friction,139.42665781974793,28.47864183279421,925.2,100
robust_seed44,robust,44,push,137.78810598909854,20.159069068895807,942.5,100
