variant,scenario,training_seeds,episodes,return_mean,return_std,seed_mean_std,length_mean
baseline,heavy,3,300,127.89602119521238,32.204177625195086,5.547019901621638,911.87
baseline,id,3,300,139.38124680986007,27.807283672143516,4.795692400088875,928.3033333333333
baseline,low_friction,3,300,129.36995208064715,25.95225676954758,4.014223520620178,927.9766666666667
baseline,push,3,300,139.53143633767962,25.650466308483846,5.145439707843049,931.1533333333333
friction,heavy,1,100,142.46094570815563,32.66904804899374,0.0,925.93
friction,id,1,100,153.20040993988513,31.78817909392088,0.0,925.64
friction,low_friction,1,100,153.19351466238498,35.495855813402976,0.0,925.33
friction,push,1,100,154.68402930617333,22.646205876703807,0.0,942.65
robust,heavy,3,300,143.19476917887727,31.856792583263836,9.082517640512524,922.6233333333333
robust,id,3,300,144.36014401952426,33.312227336957136,9.413641832375605,919.2933333333333
robust,low_friction,3,300,152.84402492761612,30.673517527196555,9.697239204994704,928.8866666666667
robust,push,3,300,143.57755811437966,32.97086071286598,6.747943042030022,916.6966666666667
