set,policy,family,episodes,falls,forward_speed_mps,forward_distance_m,one_terrain_tile_crossings,all_terrain_tiles_crossings,out_of_lane_exits,world_exits
fixed,blind_reference,flat,75,2,9.394278526306152,149.6032918294271,,,,
fixed,blind_reference,obstacles,75,6,3.242882013320923,49.80617904663086,69,41,0,0
fixed,blind_reference,rough,75,2,3.7655157248179116,60.15435536702474,73,57,0,0
fixed,blind_reference,slope,75,3,3.3348477681477866,52.309319814046226,72,35,0,0
fixed,blind_reference,stairs,75,4,2.810464382171631,44.668402353922524,69,26,2,0
fixed,blind_reference,stepping_stones,75,9,1.6311989227930705,24.964150110880535,49,0,0,0
fixed,blind_reference,waves,75,21,3.2600227991739907,46.91592025756836,54,42,0,0
fixed,selected,flat,75,3,10.609755516052246,169.81053670247397,,,,
fixed,selected,obstacles,75,6,2.722148815790812,42.5292599995931,67,12,2,0
fixed,selected,rough,75,1,3.0987753868103027,49.57756423950195,74,22,0,0
fixed,selected,slope,75,1,2.8886424700419107,46.24209213256836,71,20,3,0
fixed,selected,stairs,75,3,2.483980894088745,39.44269307454427,72,6,0,0
fixed,selected,stepping_stones,75,4,1.6409094333648682,25.536619186401367,61,0,4,0
fixed,selected,waves,75,19,2.8683815797170005,41.838829040527344,56,24,0,0
fresh,blind_reference,flat,100,11,9.161015510559082,144.8445930480957,,,,
fresh,blind_reference,obstacles,100,5,3.388366222381592,53.262895584106445,94,54,1,0
fresh,blind_reference,rough,100,4,3.6685912013053894,58.733567237854004,96,71,0,0
fresh,blind_reference,slope,100,9,3.249776303768158,51.404314041137695,91,47,0,0
fresh,blind_reference,stairs,100,5,2.7091864347457886,43.361833572387695,95,34,0,0
fresh,blind_reference,stepping_stones,100,10,1.5918851494789124,25.382211685180664,62,2,3,0
fresh,blind_reference,waves,100,13,3.5540151596069336,54.25426769256592,86,66,1,0
fresh,selected,flat,100,10,10.685994148254395,168.1563835144043,,,,
fresh,selected,obstacles,100,7,2.856295168399811,44.43325233459473,92,14,1,0
fresh,selected,rough,100,4,3.045900821685791,48.72684097290039,96,26,0,0
fresh,selected,slope,100,12,2.8412522077560425,43.98185634613037,87,31,1,0
fresh,selected,stairs,100,10,2.3452045917510986,36.64633750915527,89,4,1,0
fresh,selected,stepping_stones,100,8,1.5716100931167603,24.488985061645508,79,0,4,0
fresh,selected,waves,100,21,3.1349605917930603,46.491936683654785,78,44,1,0
ablations_selection_seed24,actual,flat,25,1,10.610387802124023,169.646484375,,,,
ablations_selection_seed24,actual,obstacles,25,2,2.6782596111297607,41.52088928222656,23,5,0,0
ablations_selection_seed24,actual,rough,25,0,3.1067309379577637,49.70769500732422,25,7,0,0
ablations_selection_seed24,actual,slope,25,0,2.9970006942749023,47.95201110839844,24,8,1,0
ablations_selection_seed24,actual,stairs,25,2,2.3910701274871826,37.39154815673828,23,1,0,0
ablations_selection_seed24,actual,stepping_stones,25,1,1.5896110534667969,25.741506576538086,22,0,1,0
ablations_selection_seed24,actual,waves,25,7,2.6407408714294434,40.67809295654297,18,7,0,0
ablations_selection_seed24,zero,flat,25,5,5.527765274047852,83.29753875732422,,,,
ablations_selection_seed24,zero,obstacles,25,8,2.534658908843994,35.622013092041016,16,2,1,0
ablations_selection_seed24,zero,rough,25,3,2.712297201156616,42.41486740112305,18,3,4,0
ablations_selection_seed24,zero,slope,25,6,2.470367670059204,36.1053352355957,13,2,6,0
ablations_selection_seed24,zero,stairs,25,3,2.3269946575164795,36.58953094482422,11,0,11,0
ablations_selection_seed24,zero,stepping_stones,25,4,1.3939077854156494,21.868749618530273,14,0,3,0
ablations_selection_seed24,zero,waves,25,9,2.4626412391662598,34.66916275024414,14,4,2,0
ablations_selection_seed24,shuffle,flat,25,1,2.740827798843384,43.72638702392578,,,,
ablations_selection_seed24,shuffle,obstacles,25,3,2.4137723445892334,36.65989303588867,22,0,0,0
ablations_selection_seed24,shuffle,rough,25,3,2.763108730316162,42.97027587890625,22,1,0,0
ablations_selection_seed24,shuffle,slope,25,3,2.563608407974243,39.9337272644043,21,1,1,0
ablations_selection_seed24,shuffle,stairs,25,5,2.0102856159210205,29.67194938659668,18,0,2,0
ablations_selection_seed24,shuffle,stepping_stones,25,5,1.4830095767974854,22.771862030029297,14,0,1,0
ablations_selection_seed24,shuffle,waves,25,16,2.021829843521118,22.423696517944336,9,0,0,0
