family,difficulty,policy,episodes,one,six,falls,lane_exits,world_exits,mean_speed_mps,mean_distance_m
rough,0.8,blind_reference,20,19,12,1,0,0,3.308163344860077,52.68488025665283
rough,0.8,selected,20,19,0,1,0,0,2.8448051810264587,45.26489734649658
rough,1.0,blind_reference,20,20,3,0,0,0,3.0819477438926697,49.311163902282715
rough,1.0,selected,20,20,0,0,0,0,2.766598701477051,44.26557922363281
slope,0.8,blind_reference,20,19,0,1,0,0,2.8766888976097107,45.010640144348145
slope,0.8,selected,20,20,0,0,0,0,2.570612847805023,41.12980556488037
slope,1.0,blind_reference,20,15,0,5,0,0,1.7635538280010223,27.788344383239746
slope,1.0,selected,20,13,0,7,0,0,1.6815989911556244,23.791635036468506
stairs,0.8,blind_reference,20,19,0,1,0,0,2.1269485652446747,33.987563610076904
stairs,0.8,selected,20,16,0,4,0,0,2.0630780160427094,29.105489253997803
stairs,1.0,blind_reference,20,19,0,1,0,0,1.8772458732128143,29.491002082824707
stairs,1.0,selected,20,18,0,1,1,0,1.8743505775928497,29.0458722114563
waves,0.8,blind_reference,20,18,10,2,0,0,3.321785271167755,51.76291370391846
waves,0.8,selected,20,16,1,4,0,0,3.131130039691925,46.27822399139404
waves,1.0,blind_reference,20,11,0,8,1,0,2.8237777948379517,34.60125160217285
waves,1.0,selected,20,9,0,11,0,0,2.8122593760490417,35.60960388183594
obstacles,0.8,blind_reference,20,18,0,1,1,0,2.8197256922721863,42.62517261505127
obstacles,0.8,selected,20,19,0,1,0,0,2.4692264795303345,39.150943756103516
obstacles,1.0,blind_reference,20,16,0,4,0,0,2.3376230001449585,35.13759088516235
obstacles,1.0,selected,20,15,0,5,0,0,2.3301462531089783,31.985723972320557
stepping_stones,0.8,blind_reference,20,6,0,6,2,0,0.6680169254541397,10.499570608139038
stepping_stones,0.8,selected,20,15,0,0,1,0,0.9481946229934692,15.171113967895508
stepping_stones,1.0,blind_reference,20,10,0,1,0,0,0.8170716017484665,13.038437604904175
stepping_stones,1.0,selected,20,10,0,4,3,0,1.0277821570634842,15.049557447433472
