policy,family,episodes,fall_rate,forward_speed_mps,return_mean,terrain_crossing_episodes,one_terrain_tile_crossings,one_terrain_tile_crossing_rate,all_terrain_tiles_crossings,all_terrain_tiles_crossing_rate,complete_lane_loops,boundary_evidence_available,out_of_lane_exits,world_exits
reference_flat999,flat,75,0.0667,9.9299,142.8968,,,,,,,False,,
reference_flat999,obstacles,75,0.3333,0.8803,10.3851,75,7,0.09333333333333334,0,0.0,0,True,4,0
reference_flat999,rough,75,0.0800,0.6755,13.0231,75,12,0.16,0,0.0,0,True,7,0
reference_flat999,slope,75,0.5200,1.3274,10.1831,75,5,0.06666666666666667,0,0.0,0,True,13,0
reference_flat999,stairs,75,0.1733,0.5672,11.0155,75,7,0.09333333333333334,0,0.0,0,True,5,0
reference_flat999,stepping_stones,75,0.1600,0.4856,10.5894,75,0,0.0,0,0.0,0,True,1,0
reference_flat999,waves,75,0.6133,1.3315,9.0230,75,3,0.04,0,0.0,0,True,2,0
reference_v2_5500,flat,75,0.0533,2.9306,53.8265,,,,,,,False,,
reference_v2_5500,obstacles,75,0.1067,1.9332,35.8976,75,60,0.8,0,0.0,0,True,1,0
reference_v2_5500,rough,75,0.0400,2.5387,47.1488,75,72,0.96,0,0.0,0,True,0,0
reference_v2_5500,slope,75,0.1067,1.8943,36.8393,75,59,0.7866666666666666,0,0.0,0,True,9,0
reference_v2_5500,stairs,75,0.1067,1.7093,33.7638,75,61,0.8133333333333334,0,0.0,0,True,1,0
reference_v2_5500,stepping_stones,75,0.0800,0.6419,17.8546,75,14,0.18666666666666668,0,0.0,0,True,1,0
reference_v2_5500,waves,75,0.0933,2.5762,45.7851,75,68,0.9066666666666666,0,0.0,0,True,0,0
parent_c2999,flat,75,0.1067,8.1237,116.4688,,,,,,,False,,
parent_c2999,obstacles,75,0.2000,3.1422,45.8750,75,41,0.5466666666666666,29,0.38666666666666666,26,True,19,0
parent_c2999,rough,75,0.0667,3.8030,59.1235,75,63,0.84,49,0.6533333333333333,47,True,7,0
parent_c2999,slope,75,0.0933,3.4048,52.4585,75,66,0.88,39,0.52,32,True,2,0
parent_c2999,stairs,75,0.1067,2.7046,42.3784,75,61,0.8133333333333334,23,0.30666666666666664,21,True,6,0
parent_c2999,stepping_stones,75,0.0667,1.1691,23.3604,75,22,0.29333333333333333,2,0.02666666666666667,0,True,3,0
parent_c2999,waves,75,0.4267,3.7916,45.8350,75,40,0.5333333333333333,35,0.4666666666666667,33,True,3,0
selected_traverse1499,flat,75,0.0667,9.0090,130.2926,,,,,,,False,,
selected_traverse1499,obstacles,75,0.0533,3.1683,47.9426,75,70,0.9333333333333333,43,0.5733333333333334,37,True,1,0
selected_traverse1499,rough,75,0.0667,3.5829,54.4691,75,69,0.92,51,0.68,46,True,1,0
selected_traverse1499,slope,75,0.0400,3.3238,51.2190,75,72,0.96,37,0.49333333333333335,31,True,0,0
selected_traverse1499,stairs,75,0.0533,2.6667,41.4891,75,70,0.9333333333333333,21,0.28,16,True,1,0
selected_traverse1499,stepping_stones,75,0.0667,1.3003,23.4913,75,24,0.32,0,0.0,0,True,5,0
selected_traverse1499,waves,75,0.1467,3.5924,51.1922,75,64,0.8533333333333334,45,0.6,41,True,0,0
